ls,min_temp,max_temp,pressure,storming
54,-80.0,-21.0,882.0,False
53,-80.0,-24.0,883.0,False
53,-78.0,-24.0,883.0,False
52,-79.0,-25.0,883.0,False
52,-79.0,-27.0,884.0,False
51,-80.0,-23.0,883.0,False
51,-81.0,-19.0,882.0,False
50,-80.0,-25.0,883.0,False
50,-80.0,-22.0,883.0,False
50,-80.0,-27.0,883.0,False
49,-79.0,-23.0,882.0,False
49,-81.0,-22.0,882.0,False
48,-79.0,-19.0,881.0,False
48,-79.0,-21.0,881.0,False
47,-79.0,-26.0,881.0,False
46,-77.0,-20.0,881.0,False
46,-80.0,-22.0,883.0,False
45,-79.0,-23.0,879.0,False
45,-78.0,-22.0,878.0,False
45,-78.0,-22.0,879.0,False
44,-77.0,-20.0,879.0,False
44,-78.0,-23.0,878.0,False
43,-81.0,-23.0,877.0,False
43,-79.0,-22.0,877.0,False
42,-79.0,-24.0,877.0,False
42,-80.0,-22.0,877.0,False
41,-79.0,-18.0,877.0,False
41,-78.0,-22.0,876.0,False
40,-78.0,-20.0,876.0,False
40,-79.0,-22.0,876.0,False
39,-79.0,-19.0,875.0,False
39,-76.0,-23.0,875.0,False
39,-78.0,-22.0,875.0,False
38,-77.0,-22.0,874.0,False
38,-79.0,-17.0,873.0,False
37,-77.0,-20.0,873.0,False
37,-79.0,-18.0,872.0,False
36,-78.0,-20.0,873.0,False
36,-77.0,-20.0,872.0,False
35,-77.0,-20.0,872.0,False
35,-78.0,-18.0,872.0,False
34,-77.0,-20.0,871.0,False
34,-78.0,-20.0,871.0,False
33,-78.0,-21.0,871.0,False
33,-78.0,-23.0,871.0,False
32,-77.0,-22.0,870.0,False
32,-78.0,-20.0,870.0,False
32,-76.0,-16.0,868.0,False
31,-80.0,-16.0,867.0,False
31,-78.0,-23.0,867.0,False
30,-77.0,-17.0,867.0,False
30,-76.0,-21.0,867.0,False
29,-79.0,-19.0,867.0,False
29,-79.0,-16.0,866.0,False
28,-76.0,-16.0,866.0,False
28,-78.0,-19.0,865.0,False
27,-78.0,-22.0,863.0,False
27,-78.0,-21.0,863.0,False
26,-77.0,-12.0,865.0,False
26,-78.0,-18.0,863.0,False
25,-78.0,-21.0,861.0,False
25,-77.0,-22.0,861.0,False
24,-78.0,-22.0,861.0,False
24,-78.0,-19.0,861.0,False
23,-77.0,-16.0,860.0,False
23,-78.0,-13.0,861.0,False
23,-78.0,-22.0,859.0,False
22,-77.0,-21.0,859.0,False
22,-78.0,-24.0,858.0,False
21,-78.0,-24.0,857.0,False
21,-77.0,-20.0,858.0,False
20,-76.0,-19.0,858.0,False
20,-76.0,-16.0,855.0,False
19,-75.0,-13.0,855.0,False
19,-76.0,-17.0,855.0,False
18,-79.0,-18.0,857.0,False
18,-77.0,-21.0,856.0,False
17,-76.0,-16.0,854.0,False
17,-77.0,-13.0,854.0,False
16,-76.0,-16.0,852.0,False
16,-76.0,-17.0,853.0,False
15,-77.0,-19.0,853.0,False
15,-77.0,-16.0,852.0,False
14,-76.0,-12.0,851.0,False
14,-76.0,-10.0,850.0,False
13,-77.0,-10.0,851.0,False
13,-77.0,-13.0,849.0,False
12,-75.0,-10.0,850.0,False
12,-77.0,-11.0,849.0,False
11,-75.0,-13.0,848.0,False
11,-76.0,-12.0,848.0,False
10,-76.0,-14.0,847.0,False
10,-76.0,-13.0,846.0,False
9,-77.0,-12.0,846.0,False
9,-77.0,-17.0,845.0,False
8,-76.0,-11.0,845.0,False
8,-77.0,-14.0,844.0,False
7,-76.0,-12.0,843.0,False
7,-75.0,-12.0,842.0,False
6,-76.0,-12.0,841.0,False
6,-76.0,-14.0,842.0,False
5,-76.0,-12.0,843.0,False
5,-77.0,-12.0,842.0,False
4,-77.0,-15.0,841.0,False
4,-75.0,-17.0,841.0,False
3,-77.0,-13.0,840.0,False
3,-76.0,-12.0,840.0,False
2,-76.0,-12.0,840.0,False
2,-62.0,-11.0,820.0,False
1,-76.0,-14.0,840.0,False
0,-75.0,-10.0,840.0,False
0,-76.0,-13.0,840.0,False
359,-75.0,-11.0,838.0,False
359,-75.0,-13.0,838.0,False
358,-77.0,-14.0,838.0,False
358,-75.0,-14.0,837.0,False
357,-75.0,-15.0,837.0,False
357,-76.0,-13.0,839.0,False
356,-74.0,-12.0,837.0,False
356,-74.0,-11.0,835.0,False
355,-75.0,-12.0,836.0,False
355,-74.0,-11.0,836.0,False
354,-74.0,-8.0,835.0,False
354,-76.0,-11.0,837.0,False
353,-75.0,-6.0,835.0,False
352,-75.0,-6.0,835.0,False
352,-75.0,-6.0,836.0,False
351,-74.0,-5.0,833.0,False
351,-76.0,-7.0,832.0,False
350,-76.0,-12.0,834.0,False
350,-74.0,-12.0,833.0,False
349,-77.0,-4.0,831.0,False
349,-76.0,-9.0,833.0,False
348,-76.0,-8.0,834.0,False
348,-76.0,-7.0,833.0,False
347,-74.0,-8.0,832.0,False
347,-74.0,-6.0,832.0,False
346,-75.0,-3.0,831.0,False
346,-75.0,-5.0,831.0,False
345,-74.0,-5.0,832.0,False
345,-77.0,-7.0,832.0,False
344,-77.0,-8.0,835.0,False
343,-75.0,-9.0,836.0,False
343,-75.0,-3.0,832.0,False
342,-76.0,-14.0,831.0,False
342,-75.0,-17.0,829.0,False
341,-75.0,-15.0,833.0,False
341,-76.0,-15.0,834.0,False
340,-77.0,-8.0,833.0,False
340,-75.0,-8.0,833.0,False
339,-74.0,-8.0,830.0,False
339,-73.0,-14.0,830.0,False
338,-73.0,-3.0,831.0,False
337,-74.0,-8.0,831.0,False
337,-74.0,-3.0,832.0,False
336,-74.0,-10.0,832.0,False
336,-74.0,-11.0,832.0,False
